Department,Position,Desc
Camera Department,2nd_unit_dp,2nd Unit DP
Camera Department,oneac,1st Assistant Camera
Camera Department,twoac,2nd Assistant Camera
Camera Department,cin,Director of Photography
Camera Department,cin_plural,Directors of Photography
Camera Department,techno-crane-tech,Techno Crane Tech
Camera Department,cam,Camera Operator
Camera Department,light,Lighting Director
Camera Department,addas,Additional Assistant
Camera Department,bb,Best Boy
Camera Department,dolly,Dolly Operator
Camera Department,steadi,Steadicam Operator
Camera Department,focus,Focus Puller
Camera Department,clap,Clapper Loader
Camera Department,load,Loader
Camera Department,addcam,Additional Camera Operator
Camera Department,camera_pa,Camera PA
Camera Department,dit,DIT (Digital Imaging Technician)
Camera Department,gopro_drone_specialist,GoPro Drone Specialist
Camera Department,cameralighting_equipment,Camera/Lighting Equipment
Camera Department,2nd_unit_camera,2nd Unit Camera
Camera Department,camera_utility,Camera Utility
Camera Department,aerial_footage,Aerial Footage
Camera Department,video_assistant,Video Assistant
Camera Department,b_camera_operator,B Camera Operator
Camera Department,lightning_director,Lightning Director
Camera Department,camera_assistant,Camera Assistant
Camera Department,equip_rental,Equipment Rental
Camera Department,lighting_assistant,Lighting Assistant
Camera Department,rental,Rental
Camera Department,spark,Spark
Camera Department,camera_trainee,Camera Trainee
Camera Department,head_gaffer,Head Gaffer
Camera Department,lighting,Lighting
Camera Department,crane_op,Crane Op
Camera Department,2nd_camera,2nd Camera
Camera Department,steadicam_assistant,Steadicam Assistant
Camera Department,lighting_camera_operator,Lighting Camera Operator
Camera Department,jib_operator,Jib Operator
Camera Department,phantom_tech,Phantom Tech
Camera Department,jib_assistant,Jib Assistant
Camera Department,crane_technician,Crane Technician
Camera Department,photo-sonics_technician,Photo-sonics Technician
Camera Department,additional_photography,Additional Photography
Camera Department,glidecam_operator,Glidecam Operator
Camera Department,techno_crane,Techno Crane
Camera Department,techno_crane_assistant,Techno Crane Assistant
Camera Department,additional_video_footage,Additional Video Footage
Camera Department,assistant-best-boy,Assistant Best Boy
Camera Department,underwater_photography,Underwater Photography
Camera Department,b_camera_1st_ac,B Camera 1st AC
Camera Department,assistant_camera,Assistant Camera
Camera Department,additional-steadicam-operator,Additional Steadicam Operator
Camera Department,genny-operator,Genny Operator
Camera Department,techno-crane-operator,Techno Crane Operator
Camera Department,macro-footage,Macro Footage
Camera Department,media-manager,Media Manager
Camera Department,camera-intern,Camera Intern
Camera Department,videographer,Videographer
